model,learner,metric,value,ci_low,ci_high,prevalence_ratio,threshold
ST4000DM000,random_forest,mcc,0.3313235196131134,0.3227253987871749,0.3397829392052676,14:1,0.26666666666666666
ST4000DM000,random_forest,f1,0.2142730966260378,0.20454303224087397,0.22377754367483102,14:1,0.26666666666666666
ST4000DM000,random_forest,pr_auc,0.45493775866656405,0.44637222486080047,0.46387500062781234,14:1,0.26666666666666666
ST4000DM000,random_forest,mcc,0.23311062369794525,0.22317188946362487,0.2426723259566494,natural,0.26666666666666666
ST4000DM000,random_forest,f1,0.19025958748333463,0.18087946169678792,0.19922537952510705,natural,0.26666666666666666
ST4000DM000,random_forest,pr_auc,0.11935836934044752,0.11267578758634919,0.12603825053579956,natural,0.26666666666666666
ST4000DM000,balanced_random_forest,mcc,0.46280601930645926,0.453851708141646,0.4707067684416489,14:1,0.68
ST4000DM000,balanced_random_forest,f1,0.3809296781883194,0.3705623836128774,0.3902002293561253,14:1,0.68
ST4000DM000,balanced_random_forest,pr_auc,0.6236395931733012,0.61349904300443,0.6334955598645118,14:1,0.68
ST4000DM000,balanced_random_forest,mcc,0.26276395709236505,0.2534958779968033,0.2703179890821768,natural,0.68
ST4000DM000,balanced_random_forest,f1,0.2622825254404202,0.2530586220437129,0.2698338807765045,natural,0.68
ST4000DM000,balanced_random_forest,pr_auc,0.15698037273894985,0.14937703415228887,0.1637558037454107,natural,0.68
ST4000DM000,xgboost,mcc,0.3444641050367188,0.334706266408329,0.35443006584531533,14:1,0.8575110575044574
ST4000DM000,xgboost,f1,0.23584577978464744,0.22556723491952957,0.24642840242752795,14:1,0.8575110575044574
ST4000DM000,xgboost,pr_auc,0.39975885308613474,0.3909045619374759,0.4085895477994026,14:1,0.8575110575044574
ST4000DM000,xgboost,mcc,0.16955020945421015,0.1616827113525735,0.17735486669916348,natural,0.8575110575044574
ST4000DM000,xgboost,f1,0.16585246702491452,0.15799273170750952,0.17330396269958456,natural,0.8575110575044574
ST4000DM000,xgboost,pr_auc,0.07141521128040366,0.06627593174427646,0.07612499354127368,natural,0.8575110575044574
ST4000DM000,lightgbm,mcc,0.5728017002261571,0.5640566641146242,0.5810713588674331,14:1,0.8210322186647
ST4000DM000,lightgbm,f1,0.5427329792370835,0.5333469254303527,0.5516849430486578,14:1,0.8210322186647
ST4000DM000,lightgbm,pr_auc,0.5966324095067176,0.587459540380871,0.6046111719154335,14:1,0.8210322186647
ST4000DM000,lightgbm,mcc,0.2309769705949971,0.22543728174478148,0.23669233418204008,natural,0.8210322186647
ST4000DM000,lightgbm,f1,0.20461874544887132,0.19967671441775625,0.209545805102027,natural,0.8210322186647
ST4000DM000,lightgbm,pr_auc,0.14217801749632966,0.13477649614046902,0.1494116722982142,natural,0.8210322186647
ST4000DM000,soft_voting_stack,mcc,0.5549776952402782,0.5469266715229882,0.5639519994635972,14:1,0.4668629175018117
ST4000DM000,soft_voting_stack,f1,0.5188054655585294,0.509419728608697,0.5279477973247086,14:1,0.4668629175018117
ST4000DM000,soft_voting_stack,pr_auc,0.5891556516674996,0.5794963432928198,0.5982620063817288,14:1,0.4668629175018117
ST4000DM000,soft_voting_stack,mcc,0.21948606470404047,0.2133547405114443,0.2248429967681737,natural,0.4668629175018117
ST4000DM000,soft_voting_stack,f1,0.19592509841472497,0.19075781030764663,0.20051692120315517,natural,0.4668629175018117
ST4000DM000,soft_voting_stack,pr_auc,0.1425986889265799,0.13530017254554744,0.14928861066976157,natural,0.4668629175018117
ST4000DM000,random_forest,mcc,0.8963961735148417,0.8930551042029791,0.9001524250998915,14:1_in_era,0.35333333333333333
ST4000DM000,random_forest,f1,0.9033193557236352,0.9002018813644224,0.9068157684646488,14:1_in_era,0.35333333333333333
ST4000DM000,random_forest,pr_auc,0.9606632227750216,0.9582124317893177,0.963156087048652,14:1_in_era,0.35333333333333333
ST4000DM000,balanced_random_forest,mcc,0.7995581609811138,0.7948026515455442,0.8044365995517013,14:1_in_era,0.68
ST4000DM000,balanced_random_forest,f1,0.8111414527580557,0.8067395647463256,0.8157287180763383,14:1_in_era,0.68
ST4000DM000,balanced_random_forest,pr_auc,0.8955175069462538,0.8913425343205889,0.8994685005829458,14:1_in_era,0.68
ST4000DM000,xgboost,mcc,0.535396420294703,0.5273389383915127,0.543729736914522,14:1_in_era,0.8520221776920343
ST4000DM000,xgboost,f1,0.555022612032342,0.546947779846847,0.5627232143043055,14:1_in_era,0.8520221776920343
ST4000DM000,xgboost,pr_auc,0.5795870874760651,0.5709797701657843,0.5892272739012429,14:1_in_era,0.8520221776920343
ST4000DM000,lightgbm,mcc,0.5174925861134102,0.510399030351611,0.5259625624450335,14:1_in_era,0.7781150961788912
ST4000DM000,lightgbm,f1,0.5482774159190529,0.5415517072431759,0.5562044125070017,14:1_in_era,0.7781150961788912
ST4000DM000,lightgbm,pr_auc,0.5598394287786934,0.5513297197760203,0.5687849150265862,14:1_in_era,0.7781150961788912
ST4000DM000,soft_voting_stack,mcc,0.7152481537935309,0.7097609173476683,0.72043430560332,14:1_in_era,0.4762363124166399
ST4000DM000,soft_voting_stack,f1,0.7264505907980725,0.721341910288842,0.7313181602387598,14:1_in_era,0.4762363124166399
ST4000DM000,soft_voting_stack,pr_auc,0.8344088701565394,0.8296123416703631,0.8395427624110354,14:1_in_era,0.4762363124166399
