starting_year,strategy,detector,month,n_signals
2015,incremental_online,page_hinkley,2023-01-01,1
2015,incremental_online,page_hinkley,2023-02-01,1
2015,incremental_online,page_hinkley,2023-03-01,1
2015,incremental_online,adwin,2023-04-01,1
2015,incremental_online,page_hinkley,2023-04-01,2
2015,incremental_online,adwin,2023-05-01,1
2015,incremental_online,page_hinkley,2023-05-01,2
2015,incremental_online,adwin,2023-06-01,1
2015,incremental_online,page_hinkley,2023-06-01,3
2015,incremental_online,page_hinkley,2023-07-01,2
2015,incremental_online,adwin,2023-08-01,1
2015,incremental_online,page_hinkley,2023-08-01,2
2015,incremental_online,adwin,2023-09-01,1
2015,incremental_online,page_hinkley,2023-09-01,3
2015,incremental_online,adwin,2023-10-01,1
2015,incremental_online,page_hinkley,2023-10-01,2
2015,incremental_online,page_hinkley,2023-11-01,2
2015,incremental_online,adwin,2023-12-01,1
2015,incremental_online,page_hinkley,2023-12-01,1
2015,incremental_online,page_hinkley,2024-01-01,1
2015,incremental_online,adwin,2024-02-01,1
2015,incremental_online,page_hinkley,2024-02-01,2
2015,incremental_online,page_hinkley,2024-03-01,3
2015,incremental_online,adwin,2024-03-01,1
2015,incremental_online,adwin,2024-04-01,1
2015,incremental_online,page_hinkley,2024-04-01,3
2015,incremental_online,page_hinkley,2024-05-01,2
2015,incremental_online,adwin,2024-05-01,1
2015,incremental_online,page_hinkley,2024-06-01,1
2015,incremental_online,page_hinkley,2024-07-01,3
2015,incremental_online,adwin,2024-08-01,1
2015,incremental_online,page_hinkley,2024-08-01,3
2015,incremental_online,page_hinkley,2024-09-01,2
2015,incremental_online,page_hinkley,2024-10-01,1
2015,incremental_online,adwin,2024-10-01,1
2015,incremental_online,adwin,2024-11-01,1
2015,incremental_online,page_hinkley,2024-11-01,2
2015,incremental_online,page_hinkley,2024-12-01,3
2015,incremental_online,adwin,2025-01-01,1
2015,incremental_online,page_hinkley,2025-01-01,2
2015,incremental_online,adwin,2025-02-01,1
2015,incremental_online,page_hinkley,2025-02-01,3
2015,incremental_online,adwin,2025-03-01,1
2015,incremental_online,page_hinkley,2025-03-01,1
2015,incremental_online,page_hinkley,2025-04-01,3
2015,incremental_online,adwin,2025-04-01,1
2015,incremental_online,adwin,2025-05-01,1
2015,incremental_online,page_hinkley,2025-05-01,1
2015,incremental_online,page_hinkley,2025-06-01,1
2015,incremental_online,page_hinkley,2025-07-01,2
2015,incremental_online,adwin,2025-08-01,1
2015,incremental_online,page_hinkley,2025-08-01,2
2015,incremental_online,adwin,2025-09-01,1
2015,incremental_online,page_hinkley,2025-09-01,2
2015,incremental_online,adwin,2025-10-01,1
2015,incremental_online,page_hinkley,2025-10-01,2
