rq,role,dataset,test_point,model_or_strategy,metric,value_95ci,target,raw_p,holm_adjusted_p,bh_adjusted_p,decision
RQ1,primary,Google,early_runtime,random_forest,mcc,"0.9476 [0.9463, 0.9491]",0.90,< .001,< .001,< .001,reject H0
RQ2,primary,Google,priority_inversion,decision_tree,mcc,"0.8622 [0.8108, 0.9068]",0.80,0.006,0.022,0.014,reject H0
RQ3,primary,Google,collection_max,collection_lead_time,lead_time_minutes,"0.5110 [0.5020, 0.5200]",15.00,> .999,> .999,> .999,fail to reject H0
RQ4,primary,Google,preemptive_migration,preemptive_migration,efficiency_improvement,"0.0693 [0.0525, 0.0878]",0.25,> .999,> .999,> .999,fail to reject H0
RQ5,primary,Backblaze,2021_static_baseline,static_baseline,time_averaged_mcc,"0.1838 [0.1648, 0.2025]",0.85,> .999,> .999,> .999,fail to reject H0
RQ1,secondary,Google,at_submission,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],mcc,"0.9006 [0.8988, 0.9026]",0.90,0.268,"","",fail to reject H0
RQ1,secondary,Google,at_scheduling,balanced_random_forest,mcc,"0.9024 [0.9004, 0.9043]",0.90,0.008,"","",reject H0
RQ1,secondary,Backblaze,14d,soft_voting_stack,mcc,"0.1798 [0.1722, 0.1878]",0.90,> .999,"","",fail to reject H0
RQ3,secondary,Backblaze,best_horizon_mcc,best_horizon,best_mcc,"0.1996 [0.1913, 0.2065]",0.80,> .999,"","",fail to reject H0
RQ3,secondary,Backblaze,15_minute_lead,daily_telemetry,lead_time_minutes,"43200.0000 [43200.0000, 43200.0000]",15.00,< .001,"","",reject H0
