horizon_days,model,mcc_95ci,f1_95ci,pr_auc_95ci,decision_vs_0.90_mcc
7,soft_voting_stack,"0.1506 [0.1306, 0.1719]","0.1274 [0.1100, 0.1475]","0.0844 [0.0741, 0.0975]",fail to reject H0
7,lightgbm,"0.1505 [0.1321, 0.1692]","0.1401 [0.1227, 0.1576]","0.0710 [0.0617, 0.0818]",fail to reject H0
7,xgboost,"0.1416 [0.1256, 0.1589]","0.1369 [0.1205, 0.1543]","0.0617 [0.0532, 0.0717]",fail to reject H0
7,balanced_random_forest,"0.1345 [0.1262, 0.1446]","0.1004 [0.0940, 0.1079]","0.0502 [0.0451, 0.0585]",fail to reject H0
7,decision_tree,"0.1239 [0.1175, 0.1303]","0.0702 [0.0668, 0.0738]","0.0288 [0.0258, 0.0320]",fail to reject H0
7,most_frequent,"0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]","0.0003 [0.0003, 0.0003]",fail to reject H0
7,logistic_regression,"-0.0002 [-0.0002, -0.0002]","0.0000 [0.0000, 0.0000]","0.0003 [0.0003, 0.0003]",fail to reject H0
14,soft_voting_stack,"0.1798 [0.1722, 0.1878]","0.1523 [0.1460, 0.1589]","0.0989 [0.0909, 0.1089]",fail to reject H0
14,xgboost,"0.1631 [0.1560, 0.1701]","0.1300 [0.1246, 0.1356]","0.0819 [0.0747, 0.0898]",fail to reject H0
14,lightgbm,"0.1630 [0.1570, 0.1685]","0.1141 [0.1100, 0.1178]","0.0831 [0.0761, 0.0913]",fail to reject H0
14,balanced_random_forest,"0.1540 [0.1465, 0.1613]","0.1382 [0.1314, 0.1445]","0.0698 [0.0639, 0.0765]",fail to reject H0
14,decision_tree,"0.1352 [0.1300, 0.1399]","0.0833 [0.0799, 0.0861]","0.0372 [0.0347, 0.0398]",fail to reject H0
14,most_frequent,"0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]","0.0006 [0.0006, 0.0006]",fail to reject H0
14,logistic_regression,"-0.0003 [-0.0003, -0.0003]","0.0000 [0.0000, 0.0000]","0.0006 [0.0006, 0.0006]",fail to reject H0
30,soft_voting_stack,"0.1996 [0.1913, 0.2065]","0.1984 [0.1903, 0.2049]","0.1141 [0.1053, 0.1201]",fail to reject H0
30,lightgbm,"0.1961 [0.1885, 0.2020]","0.1879 [0.1806, 0.1938]","0.1001 [0.0920, 0.1061]",fail to reject H0
30,xgboost,"0.1953 [0.1863, 0.2008]","0.1908 [0.1820, 0.1963]","0.1020 [0.0944, 0.1082]",fail to reject H0
30,balanced_random_forest,"0.1819 [0.1753, 0.1872]","0.1696 [0.1635, 0.1747]","0.0840 [0.0787, 0.0881]",fail to reject H0
30,decision_tree,"0.1667 [0.1599, 0.1719]","0.1510 [0.1452, 0.1554]","0.0513 [0.0482, 0.0544]",fail to reject H0
30,logistic_regression,"0.0000 [0.0000, 0.0000]","0.0025 [0.0025, 0.0025]","0.0013 [0.0013, 0.0013]",fail to reject H0
30,most_frequent,"0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]","0.0013 [0.0013, 0.0013]",fail to reject H0
