prediction_point,model,mcc_95ci,f1_95ci,pr_auc_95ci,decision_vs_0.90_mcc
at_submission,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],"0.9006 [0.8988, 0.9025]","0.9180 [0.9164, 0.9196]","0.9484 [0.9472, 0.9498]",fail to reject H0
at_submission,random_forest,"0.8990 [0.8971, 0.9008]","0.9167 [0.9150, 0.9183]","0.9479 [0.9466, 0.9492]",""
at_submission,balanced_random_forest,"0.8988 [0.8970, 0.9007]","0.9166 [0.9150, 0.9183]","0.9478 [0.9465, 0.9491]",""
at_submission,lightgbm,"0.8918 [0.8899, 0.8937]","0.9111 [0.9095, 0.9127]","0.9394 [0.9381, 0.9409]",""
at_submission,xgboost,"0.8878 [0.8859, 0.8898]","0.9077 [0.9061, 0.9095]","0.9381 [0.9368, 0.9396]",""
at_submission,gradient_boosting,"0.8509 [0.8486, 0.8533]","0.8754 [0.8734, 0.8775]","0.9031 [0.9014, 0.9050]",""
at_submission,logistic_regression,"0.7806 [0.7777, 0.7834]","0.8152 [0.8126, 0.8177]","0.8585 [0.8563, 0.8608]",""
at_submission,decision_tree,"0.6415 [0.6385, 0.6444]","0.7140 [0.7112, 0.7165]","0.5611 [0.5575, 0.5642]",""
at_submission,most_frequent,"0.0000 [0.0000, 0.0000]","0.3586 [0.3564, 0.3606]","0.2185 [0.2168, 0.2200]",""
at_scheduling,random_forest,"0.9025 [0.9006, 0.9045]","0.9218 [0.9202, 0.9234]","0.9642 [0.9632, 0.9652]",""
at_scheduling,balanced_random_forest,"0.9024 [0.9006, 0.9044]","0.9217 [0.9201, 0.9233]","0.9644 [0.9634, 0.9654]",reject H0
at_scheduling,soft_voting_top3[balanced_random_forest+random_forest+lightgbm],"0.9007 [0.8989, 0.9026]","0.9181 [0.9165, 0.9198]","0.9627 [0.9618, 0.9638]",""
at_scheduling,lightgbm,"0.8844 [0.8824, 0.8865]","0.9052 [0.9034, 0.9070]","0.9539 [0.9529, 0.9551]",""
at_scheduling,xgboost,"0.8825 [0.8804, 0.8845]","0.9035 [0.9017, 0.9052]","0.9522 [0.9511, 0.9533]",""
at_scheduling,gradient_boosting,"0.8361 [0.8340, 0.8384]","0.8592 [0.8571, 0.8613]","0.9033 [0.9016, 0.9051]",""
at_scheduling,decision_tree,"0.7378 [0.7352, 0.7404]","0.7903 [0.7880, 0.7926]","0.6537 [0.6503, 0.6569]",""
at_scheduling,logistic_regression,"0.6534 [0.6500, 0.6567]","0.6829 [0.6795, 0.6863]","0.7697 [0.7669, 0.7725]",""
at_scheduling,most_frequent,"0.0000 [0.0000, 0.0000]","0.3586 [0.3564, 0.3606]","0.2185 [0.2168, 0.2200]",""
early_runtime,random_forest,"0.9476 [0.9462, 0.9490]","0.9586 [0.9575, 0.9597]","0.9887 [0.9882, 0.9893]",reject H0
early_runtime,balanced_random_forest,"0.9470 [0.9456, 0.9484]","0.9581 [0.9570, 0.9592]","0.9886 [0.9881, 0.9892]",""
early_runtime,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],"0.9459 [0.9445, 0.9474]","0.9572 [0.9561, 0.9584]","0.9887 [0.9882, 0.9892]",""
early_runtime,lightgbm,"0.9368 [0.9353, 0.9384]","0.9501 [0.9489, 0.9514]","0.9841 [0.9831, 0.9850]",""
early_runtime,xgboost,"0.9350 [0.9335, 0.9366]","0.9487 [0.9474, 0.9500]","0.9848 [0.9842, 0.9853]",""
early_runtime,decision_tree,"0.8943 [0.8925, 0.8962]","0.9169 [0.9153, 0.9185]","0.8497 [0.8470, 0.8525]",""
early_runtime,gradient_boosting,"0.8638 [0.8615, 0.8662]","0.8890 [0.8870, 0.8910]","0.9341 [0.9327, 0.9356]",""
early_runtime,logistic_regression,"0.6459 [0.6426, 0.6494]","0.6664 [0.6630, 0.6701]","0.7704 [0.7677, 0.7733]",""
early_runtime,most_frequent,"0.0000 [0.0000, 0.0000]","0.3586 [0.3564, 0.3606]","0.2185 [0.2168, 0.2200]",""
