conflict_scope,model,mcc_95ci,f1_95ci,pr_auc_95ci,decision_vs_0.80_mcc
pooled,random_forest,"0.8790 [0.8686, 0.8887]","0.9128 [0.9046, 0.9202]","0.9752 [0.9707, 0.9793]",""
pooled,linear_svm,"0.8728 [0.8626, 0.8828]","0.9077 [0.8995, 0.9153]","0.9586 [0.9495, 0.9676]",""
pooled,keras_nn,"0.8583 [0.8468, 0.8690]","0.8994 [0.8910, 0.9074]","0.9313 [0.9212, 0.9412]",reject H0
pooled,logistic_regression,"0.8468 [0.8353, 0.8580]","0.8910 [0.8822, 0.8992]","0.9403 [0.9309, 0.9506]",""
pooled,decision_tree,"0.8010 [0.7874, 0.8136]","0.8681 [0.8593, 0.8765]","0.7137 [0.6975, 0.7291]",""
pooled,most_frequent,"0.0000 [0.0000, 0.0000]","0.4983 [0.4983, 0.4983]","0.3319 [0.3319, 0.3319]",""
resource_contention,random_forest,"0.5999 [0.5722, 0.6295]","0.6008 [0.5739, 0.6280]","0.6749 [0.6312, 0.7241]",fail to reject H0
resource_contention,linear_svm,"0.4929 [0.4611, 0.5227]","0.5004 [0.4734, 0.5264]","0.3150 [0.2927, 0.3438]",""
resource_contention,decision_tree,"0.4665 [0.4229, 0.5097]","0.5014 [0.4600, 0.5416]","0.2832 [0.2466, 0.3225]",""
resource_contention,keras_nn,"0.4258 [0.3826, 0.4654]","0.4632 [0.4231, 0.4988]","0.4031 [0.3702, 0.4429]",""
resource_contention,logistic_regression,"0.3485 [0.3067, 0.3893]","0.3925 [0.3545, 0.4298]","0.3358 [0.3093, 0.3678]",""
resource_contention,most_frequent,"0.0000 [0.0000, 0.0000]","0.1213 [0.1213, 0.1213]","0.0646 [0.0646, 0.0646]",""
priority_inversion,decision_tree,"0.8622 [0.8108, 0.9068]","0.9941 [0.9921, 0.9959]","0.9929 [0.9895, 0.9959]",reject H0
priority_inversion,random_forest,"0.8622 [0.8108, 0.9068]","0.9941 [0.9921, 0.9959]","0.9929 [0.9894, 0.9959]",""
priority_inversion,keras_nn,"0.8472 [0.7946, 0.8971]","0.9935 [0.9915, 0.9955]","0.9943 [0.9919, 0.9966]",""
priority_inversion,linear_svm,"0.8330 [0.7800, 0.8872]","0.9929 [0.9908, 0.9951]","0.9935 [0.9906, 0.9962]",""
priority_inversion,logistic_regression,"0.8330 [0.7800, 0.8872]","0.9929 [0.9908, 0.9951]","0.9934 [0.9904, 0.9961]",""
priority_inversion,most_frequent,"0.0000 [0.0000, 0.0000]","0.9766 [0.9766, 0.9766]","0.9543 [0.9543, 0.9543]",""
scheduling_violation,keras_nn,"0.2387 [0.1328, 0.3390]","0.1705 [0.0820, 0.2667]","0.3622 [0.2925, 0.4438]",""
scheduling_violation,linear_svm,"0.0345 [0.0172, 0.0520]","0.2897 [0.2886, 0.2915]","0.3174 [0.2572, 0.3942]",""
scheduling_violation,most_frequent,"0.0000 [0.0000, 0.0000]","0.2882 [0.2882, 0.2882]","0.1684 [0.1684, 0.1684]",""
scheduling_violation,random_forest,"-0.0036 [-0.0786, 0.0644]","0.2842 [0.2703, 0.2964]","0.3174 [0.2433, 0.4019]",fail to reject H0
scheduling_violation,logistic_regression,"-0.0050 [-0.0836, 0.0699]","0.2826 [0.2656, 0.2985]","0.2680 [0.2052, 0.3446]",""
scheduling_violation,decision_tree,"-0.0181 [-0.0956, 0.0572]","0.2574 [0.2222, 0.2914]","0.1652 [0.1539, 0.1797]",""
