model_block,rank,feature,mean_abs_shap
rq1_google,1,first_resubmission,0.10230
rq1_google,2,has_prior_fail,0.08594
rq1_google,3,resubmission_count,0.07957
rq1_google,4,prior_fail_count,0.07002
rq1_google,5,queue_time,0.05834
rq1_google,6,priority_tier_free,0.05238
rq1_google,7,has_hardware_counters,0.04185
rq1_google,8,first_interval_util_ratio,0.04102
rq1_google,9,initial_memory_ramp,0.03347
rq1_google,10,scheduling_class,0.03231
rq1_google,11,priority_tier_best_effort,0.02891
rq1_google,12,submit_hour_cos,0.02196
rq1_google,13,submit_day_of_week,0.02156
rq1_google,14,priority_tier_production,0.01955
rq1_google,15,memory_request,0.01927
rq1_backblaze,1,days_since_first_nonzero_smart_197,0.56650
rq1_backblaze,2,model_prior,0.56165
rq1_backblaze,3,model_prior,0.45135
rq1_backblaze,4,days_since_first_nonzero_smart_197,0.44545
rq1_backblaze,5,drive_age_days,0.37424
rq1_backblaze,6,smart_193_raw,0.32599
rq1_backblaze,7,smart_193_raw,0.21229
rq1_backblaze,8,days_since_first_nonzero_smart_5,0.20192
rq1_backblaze,9,drive_age_days,0.18846
rq1_backblaze,10,days_since_first_nonzero_smart_5,0.15162
rq1_backblaze,11,smart_5_rollstd_30d,0.13882
rq1_backblaze,12,smart_240_raw,0.13654
rq1_backblaze,13,smart_192_raw,0.13338
rq1_backblaze,14,smart_192_raw,0.12377
rq1_backblaze,15,smart_9_raw,0.12165
