dataset,model,feature,importance
rq1_google,random_forest,first_resubmission,0.10230150357908895
rq1_google,random_forest,has_prior_fail,0.08594371805907193
rq1_google,random_forest,resubmission_count,0.07956858832357303
rq1_google,random_forest,prior_fail_count,0.07001890618731019
rq1_google,random_forest,queue_time,0.05833912556786902
rq1_google,random_forest,priority_tier_free,0.052379628653063504
rq1_google,random_forest,has_hardware_counters,0.041850367192696296
rq1_google,random_forest,first_interval_util_ratio,0.04101995339249272
rq1_google,random_forest,initial_memory_ramp,0.033473895436134035
rq1_google,random_forest,scheduling_class,0.03231294136598382
rq1_google,random_forest,priority_tier_best_effort,0.028912749512184182
rq1_google,random_forest,submit_hour_cos,0.02196085410921278
rq1_google,random_forest,submit_day_of_week,0.021564569407756883
rq1_google,random_forest,priority_tier_production,0.019553560227105093
rq1_google,random_forest,memory_request,0.0192722711897416
rq1_google,random_forest,initial_memory_ramp__missing,0.01911781850656512
rq1_google,random_forest,submit_is_business_hours_pdt,0.018472723386839016
rq1_google,random_forest,initial_cpu_ramp__missing,0.017967994615939294
rq1_google,random_forest,cpu_request,0.017817004244018775
rq1_google,random_forest,prior_evict_count,0.016495766718523704
rq1_google,random_forest,initial_cpu_ramp,0.014571480373560656
rq1_google,random_forest,request_ratio,0.012791477157390393
rq1_google,random_forest,submit_hour_of_day,0.01155375744544672
rq1_google,random_forest,submit_hour_sin,0.009939777989798768
rq1_google,random_forest,memory_slope_30s,0.00911948509264728
rq1_google,random_forest,first_interval_util_ratio__missing,0.007899568714554904
rq1_google,random_forest,cpu_slope_30s,0.005158884192040394
rq1_google,random_forest,memory_slope_15s,0.005043264885741108
rq1_google,random_forest,cpu_slope_15s__missing,0.004608698704048523
rq1_google,random_forest,memory_slope_15s__missing,0.004541053313229365
rq1_backblaze,xgboost,days_since_first_nonzero_smart_197,0.5665021538734436
rq1_backblaze,xgboost,model_prior,0.5616521239280701
rq1_backblaze,xgboost,drive_age_days,0.37423643469810486
rq1_backblaze,xgboost,smart_193_raw,0.325993150472641
rq1_backblaze,xgboost,days_since_first_nonzero_smart_5,0.20192155241966248
rq1_backblaze,xgboost,smart_240_raw,0.13654345273971558
rq1_backblaze,xgboost,smart_192_raw,0.1333824098110199
rq1_backblaze,xgboost,smart_9_raw,0.12165049463510513
rq1_backblaze,xgboost,smart_2_raw,0.1007695123553276
rq1_backblaze,xgboost,has_nonzero_smart_197_30d,0.09615994244813919
rq1_backblaze,xgboost,smart_7_delta_7d,0.09063111245632172
rq1_backblaze,xgboost,smart_1_rollmean_30d,0.08488994091749191
rq1_backblaze,xgboost,smart_194_raw,0.07866592705249786
rq1_backblaze,xgboost,smart_5_rollstd_30d,0.07636048644781113
rq1_backblaze,xgboost,smart_193_rollmean_30d,0.07003414630889893
rq1_backblaze,xgboost,smart_197_raw,0.06964456290006638
rq1_backblaze,xgboost,smart_3_raw,0.06860344856977463
rq1_backblaze,xgboost,capacity_bytes,0.06664983928203583
rq1_backblaze,xgboost,smart_240_delta_7d,0.059489309787750244
rq1_backblaze,xgboost,smart_4_rollmean_30d,0.058197021484375
rq1_backblaze,xgboost,smart_9_rollmean_30d,0.05211726203560829
rq1_backblaze,xgboost,smart_241_raw,0.05174389109015465
rq1_backblaze,xgboost,month,0.0417415089905262
rq1_backblaze,xgboost,smart_4_delta_7d,0.041147951036691666
rq1_backblaze,xgboost,smart_4_raw,0.04096177965402603
rq1_backblaze,xgboost,smart_242_raw,0.038737405091524124
rq1_backblaze,xgboost,smart_5_rollstd_14d,0.034247174859046936
rq1_backblaze,xgboost,smart_12_rollmean_30d,0.0317089818418026
rq1_backblaze,xgboost,era_smart_187_available,0.029910949990153313
rq1_backblaze,xgboost,smart_197_rollp95_7d,0.029078558087348938
rq1_backblaze,lightgbm,model_prior,0.45135092943591343
rq1_backblaze,lightgbm,days_since_first_nonzero_smart_197,0.4454505271122209
rq1_backblaze,lightgbm,smart_193_raw,0.2122870158866179
rq1_backblaze,lightgbm,drive_age_days,0.1884566497325505
rq1_backblaze,lightgbm,days_since_first_nonzero_smart_5,0.1516150022414043
