feature,mean_abs_shap
first_resubmission,0.10230150357908895
has_prior_fail,0.08594371805907193
resubmission_count,0.07956858832357303
prior_fail_count,0.07001890618731019
queue_time,0.05833912556786902
priority_tier_free,0.052379628653063504
has_hardware_counters,0.041850367192696296
first_interval_util_ratio,0.04101995339249272
initial_memory_ramp,0.033473895436134035
scheduling_class,0.03231294136598382
priority_tier_best_effort,0.028912749512184182
submit_hour_cos,0.02196085410921278
submit_day_of_week,0.021564569407756883
priority_tier_production,0.019553560227105093
memory_request,0.0192722711897416
initial_memory_ramp__missing,0.01911781850656512
submit_is_business_hours_pdt,0.018472723386839016
initial_cpu_ramp__missing,0.017967994615939294
cpu_request,0.017817004244018775
prior_evict_count,0.016495766718523704
initial_cpu_ramp,0.014571480373560656
request_ratio,0.012791477157390393
submit_hour_of_day,0.01155375744544672
submit_hour_sin,0.009939777989798768
memory_slope_30s,0.00911948509264728
first_interval_util_ratio__missing,0.007899568714554904
cpu_slope_30s,0.005158884192040394
memory_slope_15s,0.005043264885741108
cpu_slope_15s__missing,0.004608698704048523
memory_slope_15s__missing,0.004541053313229365
cpu_slope_15s,0.0033624158744602296
cpu_slope_30s__missing,0.0032958735052038184
memory_slope_30s__missing,0.0030471860125938274
platform_p4,0.0027162026344302675
submit_is_weekend,0.002680015930978183
priority_tier_mid,0.0013253175244319114
priority_tier_monitoring,0.0012073761268604627
memory_slope_5s__missing,0.0009590599520753858
platform_p3,0.0009093948179408416
platform_p1,0.0009086135842371044
cpu_slope_5s__missing,0.0007129630362853753
memory_slope_5s,0.0006444112151091845
platform_p2,0.0005692358834544506
cpu_slope_5s,0.0004977299824445167
platform_p0,0.000492512238013063
cpi_value__missing,0.00040182117928769386
queue_time__missing,0.0003977730970007864
mapi_value__missing,0.0003733418961342401
mapi_value,0.00015878890721574403
cpi_value,0.00009815175178213905
request_ratio__missing,0.00001248101437509729
