prediction_point,model,metric,value,ci_low,ci_high
at_scheduling,balanced_random_forest,cv_mcc_mean,0.8148002642298016,0.5489193517659025,0.9154163214751321
at_scheduling,balanced_random_forest,f1,0.9216950917160024,0.9201458189212169,0.9233064843975178
at_scheduling,balanced_random_forest,mcc,0.9024091172551123,0.9005715322541265,0.9043511323407923
at_scheduling,balanced_random_forest,pr_auc,0.9643798689027681,0.9633844169354966,0.9654190457108502
at_scheduling,decision_tree,cv_mcc_mean,0.7597139481501229,0.5071066852685359,0.8715149030330129
at_scheduling,decision_tree,f1,0.790342950157162,0.7879602818084986,0.7925729427373838
at_scheduling,decision_tree,mcc,0.7378426375859503,0.7351903029537734,0.7404363001893198
at_scheduling,decision_tree,pr_auc,0.6537019473013659,0.6503460685814453,0.6568870750015773
at_scheduling,gradient_boosting,cv_mcc_mean,0.8113830548610842,0.5402932065747732,0.9132866535429432
at_scheduling,gradient_boosting,f1,0.8591740980080516,0.857131481731632,0.8613019066579594
at_scheduling,gradient_boosting,mcc,0.8361389554503599,0.8339961958083575,0.8384338723256863
at_scheduling,gradient_boosting,pr_auc,0.9033268553055857,0.9016193882831997,0.9050520191701024
at_scheduling,lightgbm,cv_mcc_mean,0.8163389310354824,0.5529217438794776,0.9133846050289408
at_scheduling,lightgbm,f1,0.905167189747022,0.9033711961072051,0.9069587706923593
at_scheduling,lightgbm,mcc,0.8844167696165973,0.8823530090668805,0.8864631638264597
at_scheduling,lightgbm,pr_auc,0.9539194848425664,0.9528664550420954,0.9550597575512347
at_scheduling,logistic_regression,cv_mcc_mean,0.7964401189903816,0.5284037198448164,0.9043173304592548
at_scheduling,logistic_regression,f1,0.6829226793708859,0.679505059349192,0.6863295104679296
at_scheduling,logistic_regression,mcc,0.6533688625065146,0.6499679939742917,0.6566548336185025
at_scheduling,logistic_regression,pr_auc,0.7697071300016727,0.7669250421513841,0.7725132730895303
at_scheduling,most_frequent,cv_mcc_mean,0.0,0.0,0.0
at_scheduling,most_frequent,f1,0.358573827232335,0.35637674031759964,0.36059658588965754
at_scheduling,most_frequent,mcc,0.0,0.0,0.0
at_scheduling,most_frequent,pr_auc,0.2184526073613968,0.21682386046803626,0.21995598081176998
at_scheduling,random_forest,cv_mcc_mean,0.814554214605611,0.549357116226451,0.9156242259406405
at_scheduling,random_forest,f1,0.9217834709577246,0.9201959999661125,0.9233858440016612
at_scheduling,random_forest,mcc,0.9025102358700602,0.900602351501186,0.9044835580468734
at_scheduling,random_forest,pr_auc,0.9641952065926024,0.9632196233260616,0.9652315789919743
at_scheduling,soft_voting_top3[balanced_random_forest+random_forest+lightgbm],f1,0.918143673587499,0.9165481413481066,0.919800604587825
at_scheduling,soft_voting_top3[balanced_random_forest+random_forest+lightgbm],mcc,0.9007390541091499,0.8988732295966574,0.9026453243127784
at_scheduling,soft_voting_top3[balanced_random_forest+random_forest+lightgbm],pr_auc,0.9627254009039649,0.9617689426843798,0.9637844134586723
at_scheduling,xgboost,cv_mcc_mean,0.8144989471991164,0.5440864892187915,0.9152470117712828
at_scheduling,xgboost,f1,0.9034607059079258,0.9017206871565133,0.905219647596673
at_scheduling,xgboost,mcc,0.8824592201656517,0.8803554310399273,0.8845051654661757
at_scheduling,xgboost,pr_auc,0.9521844865812544,0.9511330466715623,0.9533287527826365
at_submission,balanced_random_forest,cv_mcc_mean,0.7986756684017068,0.5287613427507057,0.896276836276559
at_submission,balanced_random_forest,f1,0.9165762049500651,0.914973512942904,0.9182533815637838
at_submission,balanced_random_forest,mcc,0.8988133678125307,0.8969920858334703,0.9006949393775671
at_submission,balanced_random_forest,pr_auc,0.9477860860797258,0.9464675496237991,0.9491088433489375
at_submission,decision_tree,cv_mcc_mean,0.7611918747784608,0.4903031700640451,0.8614593028784828
at_submission,decision_tree,f1,0.7139743531355927,0.7111975812239967,0.716483087325139
at_submission,decision_tree,mcc,0.6414865964586299,0.6384561185956755,0.6443727218495389
at_submission,decision_tree,pr_auc,0.5610728606656679,0.5575331544205396,0.5642276799800422
at_submission,gradient_boosting,cv_mcc_mean,0.808310735805484,0.537868645385252,0.9094520486900797
at_submission,gradient_boosting,f1,0.8753660797034291,0.8733808449339103,0.8775392688429873
at_submission,gradient_boosting,mcc,0.8508863512017915,0.8486334970419924,0.853342058682572
at_submission,gradient_boosting,pr_auc,0.9030718180146446,0.9013649514023512,0.9049663919328078
at_submission,lightgbm,cv_mcc_mean,0.8086738777892273,0.5263319587399654,0.9114794076241012
at_submission,lightgbm,f1,0.9110827887301027,0.909470350318882,0.9127051499707001
at_submission,lightgbm,mcc,0.8917854360267659,0.8898522432290847,0.8937064710628944
at_submission,lightgbm,pr_auc,0.9394326572939995,0.9380866541414199,0.9409016843383525
at_submission,logistic_regression,cv_mcc_mean,0.7973223474783161,0.5286407683668465,0.9052733996521466
at_submission,logistic_regression,f1,0.8151764091362362,0.8126498004305784,0.8176967384047338
at_submission,logistic_regression,mcc,0.7805884409447035,0.777705083298884,0.7833858078470515
at_submission,logistic_regression,pr_auc,0.8584874486687109,0.8562565885155183,0.860795912680416
at_submission,most_frequent,cv_mcc_mean,0.0,0.0,0.0
at_submission,most_frequent,f1,0.358573827232335,0.35637674031759964,0.36059658588965754
at_submission,most_frequent,mcc,0.0,0.0,0.0
at_submission,most_frequent,pr_auc,0.2184526073613968,0.21682386046803626,0.21995598081176998
at_submission,random_forest,cv_mcc_mean,0.7986875982009564,0.5291555937456941,0.8967046029133616
at_submission,random_forest,f1,0.9166772237806533,0.9150361160685893,0.9182986916289623
at_submission,random_forest,mcc,0.8989825433370078,0.8971348047700751,0.900793727171474
at_submission,random_forest,pr_auc,0.9478818554028482,0.9465737700546636,0.9492431126774222
at_submission,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],f1,0.9179930326200063,0.9164494389742304,0.9195833675441332
at_submission,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],mcc,0.9006339172708259,0.8988454391636129,0.9024660957346041
at_submission,soft_voting_top3[random_forest+balanced_random_forest+lightgbm],pr_auc,0.9484338718458154,0.9471560793177396,0.9497637791402056
at_submission,xgboost,cv_mcc_mean,0.8087785016790495,0.5299089875539696,0.910337030359654
at_submission,xgboost,f1,0.907736317056832,0.9061379513731835,0.9094844073308938
at_submission,xgboost,mcc,0.88777489242858,0.8858763719307402,0.8897726010862516
at_submission,xgboost,pr_auc,0.9381045669450593,0.9367619808041118,0.9396141112786527
early_runtime,balanced_random_forest,cv_mcc_mean,0.846440973686057,0.5654554772353346,0.9490380439795171
early_runtime,balanced_random_forest,f1,0.9581064639439464,0.95695373329183,0.9592393978171863
early_runtime,balanced_random_forest,mcc,0.9470423300435665,0.9455907034827337,0.9484425170664372
early_runtime,balanced_random_forest,pr_auc,0.9886357454810476,0.9881147821716747,0.9891509812517371
early_runtime,decision_tree,cv_mcc_mean,0.7945972965482491,0.5042438017412049,0.9126502828710644
early_runtime,decision_tree,f1,0.9169082357074978,0.9153320310546298,0.9185292086972268
early_runtime,decision_tree,mcc,0.894321305242596,0.892454240775296,0.8962319016507526
early_runtime,decision_tree,pr_auc,0.8497385437899733,0.8470101053398222,0.8524965450440044
early_runtime,gradient_boosting,cv_mcc_mean,0.8338368824018817,0.5473991375294259,0.9386509933094817
early_runtime,gradient_boosting,f1,0.8889932619180952,0.8870322732335458,0.8910046369035339
