model,conflict_scope,metric,value,ci_low,ci_high
decision_tree,pooled,cv_mcc_mean,0.8343,0.8134,0.8466
decision_tree,pooled,f1,0.8681,0.8593,0.8765
decision_tree,pooled,mcc,0.801,0.7874,0.8136
decision_tree,pooled,pr_auc,0.7137,0.6975,0.7291
keras_nn,pooled,cv_mcc_mean,0.8125,0.7883,0.8446
keras_nn,pooled,f1,0.8994,0.891,0.9074
keras_nn,pooled,mcc,0.8583,0.8468,0.869
keras_nn,pooled,pr_auc,0.9313,0.9212,0.9412
linear_svm,pooled,cv_mcc_mean,0.8547,0.8125,0.8804
linear_svm,pooled,f1,0.9077,0.8995,0.9153
linear_svm,pooled,mcc,0.8728,0.8626,0.8828
linear_svm,pooled,pr_auc,0.9586,0.9495,0.9676
logistic_regression,pooled,cv_mcc_mean,0.8337,0.7926,0.8648
logistic_regression,pooled,f1,0.891,0.8822,0.8992
logistic_regression,pooled,mcc,0.8468,0.8353,0.858
logistic_regression,pooled,pr_auc,0.9403,0.9309,0.9506
most_frequent,pooled,cv_mcc_mean,0.0,0.0,0.0
most_frequent,pooled,f1,0.4983,0.4983,0.4983
most_frequent,pooled,mcc,0.0,0.0,0.0
most_frequent,pooled,pr_auc,0.3319,0.3319,0.3319
random_forest,pooled,cv_mcc_mean,0.8633,0.8443,0.874
random_forest,pooled,f1,0.9128,0.9046,0.9202
random_forest,pooled,mcc,0.879,0.8686,0.8887
random_forest,pooled,pr_auc,0.9752,0.9707,0.9793
decision_tree,priority_inversion,cv_mcc_mean,0.8688,0.8239,0.9358
decision_tree,priority_inversion,f1,0.9941,0.9921,0.9959
decision_tree,priority_inversion,mcc,0.8622,0.8108,0.9068
decision_tree,priority_inversion,pr_auc,0.9929,0.9895,0.9959
keras_nn,priority_inversion,cv_mcc_mean,0.7223,0.4058,0.9275
keras_nn,priority_inversion,f1,0.9935,0.9915,0.9955
keras_nn,priority_inversion,mcc,0.8472,0.7946,0.8971
keras_nn,priority_inversion,pr_auc,0.9943,0.9919,0.9966
linear_svm,priority_inversion,cv_mcc_mean,0.8663,0.8277,0.9275
linear_svm,priority_inversion,f1,0.9929,0.9908,0.9951
linear_svm,priority_inversion,mcc,0.833,0.78,0.8872
linear_svm,priority_inversion,pr_auc,0.9935,0.9906,0.9962
logistic_regression,priority_inversion,cv_mcc_mean,0.8663,0.8277,0.9275
logistic_regression,priority_inversion,f1,0.9929,0.9908,0.9951
logistic_regression,priority_inversion,mcc,0.833,0.78,0.8872
logistic_regression,priority_inversion,pr_auc,0.9934,0.9904,0.9961
most_frequent,priority_inversion,cv_mcc_mean,0.0,0.0,0.0
most_frequent,priority_inversion,f1,0.9766,0.9766,0.9766
most_frequent,priority_inversion,mcc,0.0,0.0,0.0
most_frequent,priority_inversion,pr_auc,0.9543,0.9543,0.9543
random_forest,priority_inversion,cv_mcc_mean,0.8678,0.8239,0.9358
random_forest,priority_inversion,f1,0.9941,0.9921,0.9959
